Time (s) Run #1,Position (mm) Run #1,Light Intensity (%) Run #1,Log of Light Intensity Run #1,,,,"ampiezza fenditure: 0,08 mm"
"7,12","27,5","0,8","1,9",,,,
"7,14","27,58","0,7","1,9",,,,
"7,16","27,65","0,7","1,9",,,,
"7,18","27,73","0,7","1,8",,,,
"7,2","27,8","0,7","1,8",,,,
"7,22","27,87","0,7","1,9",,,,
"7,24","27,95","0,7","1,9",,,,
"7,26","28,04","0,7","1,9",,,,
"7,28","28,13","0,8","1,9",,,,
"7,3","28,22","0,8","1,9",,,,
"7,32","28,3","0,9","1,9",,,,
"7,34","28,35","0,9","1,9",,,,
"7,36","28,41","0,8","1,9",,,,
"7,38","28,49","0,9","1,9",,,,
"7,4","28,58","0,9","1,9",,,,
"7,42","28,68","0,8","1,9",,,,
"7,44","28,78","0,8","1,9",,,,
"7,46","28,88","0,7","1,9",,,,
"7,48","28,99","0,7","1,8",,,,
"7,5","29,11","0,7","1,8",,,,
"7,52","29,24","0,7","1,9",,,,
"7,54","29,35","0,8","1,9",,,,
"7,56","29,44","0,9","1,9",,,,
"7,58","29,52","0,9","1,9",,,,
"7,6","29,58","0,9",2,,,,
"7,62","29,65","0,9","1,9",,,,
"7,64","29,74","0,9","1,9",,,,
"7,66","29,83","0,9","1,9",,,,
"7,68","29,92","0,8","1,9",,,,
"7,7","29,99","0,8","1,9",,,,
"7,72","30,07","0,7","1,9",,,,
"7,74","30,14","0,7","1,9",,,,
"7,76","30,23","0,7","1,8",,,,
"7,78","30,32","0,7","1,8",,,,
"7,8","30,41","0,7","1,9",,,,
"7,82","30,49","0,8","1,9",,,,
"7,84","30,56","0,8","1,9",,,,
"7,86","30,63","0,8","1,9",,,,
"7,88","30,68","0,9","1,9",,,,
"7,9","30,73","0,9","1,9",,,,
"7,92","30,78","0,9","1,9",,,,
"7,94","30,82","0,8","1,9",,,,
"7,96","30,87","0,8","1,9",,,,
"7,98","30,92","0,8","1,9",,,,
8,"30,97","0,8","1,9",,,,
"8,02","31,01","0,8","1,9",,,,
"8,04","31,05","0,8","1,9",,,,
"8,06","31,08","0,8","1,9",,,,
"8,08","31,11","0,7","1,9",,,,
"8,1","31,15","0,7","1,9",,,,
"8,12","31,18","0,7","1,9",,,,
"8,14","31,22","0,7","1,9",,,,
"8,16","31,26","0,7","1,8",,,,
