Time (s) Run #1,Position (mm) Run #1,Light Intensity (%) Run #1,Log of Light Intensity Run #1,,,,"ampiezza fenditure: 0,16 mm"
"4,84","13,24","0,8","1,9",,,,
"4,86","13,31","0,8","1,9",,,,
"4,88","13,38","0,8","1,9",,,,
"4,9","13,45","0,8","1,9",,,,
"4,92","13,54","0,8","1,9",,,,
"4,94","13,62","0,8","1,9",,,,
"4,96","13,69","0,8","1,9",,,,
"4,98","13,74","0,8","1,9",,,,
5,"13,79","0,8","1,9",,,,
"5,02","13,85","0,8","1,9",,,,
"5,04","13,91","0,8","1,9",,,,
"5,06","13,96","0,8","1,9",,,,
"5,08","14,02","0,8","1,9",,,,
"5,1","14,08","0,8","1,9",,,,
"5,12","14,13","0,8","1,9",,,,
"5,14","14,18","0,8","1,9",,,,
"5,16","14,22","0,8","1,9",,,,
"5,18","14,26","0,8","1,9",,,,
"5,2","14,28","0,8","1,9",,,,
"5,22","14,31","0,8","1,9",,,,
"5,24","14,34","0,8","1,9",,,,
"5,26","14,38","0,8","1,9",,,,
"5,28","14,42","0,8","1,9",,,,
"5,3","14,44","0,8","1,9",,,,
"5,32","14,48","0,8","1,9",,,,
"5,34","14,52","0,8","1,9",,,,
"5,36","14,56","0,8","1,9",,,,
"5,38","14,61","0,8","1,9",,,,
"5,4","14,66","0,8","1,9",,,,
"5,42","14,71","0,8","1,9",,,,
"5,44","14,75","0,8","1,9",,,,
"5,46","14,79","0,8","1,9",,,,
"5,48","14,84","0,8","1,9",,,,
"5,5","14,88","0,8","1,9",,,,
"5,52","14,93","0,8","1,9",,,,
"5,54","14,99","0,8","1,9",,,,
"5,56","15,05","0,8","1,9",,,,
"5,58","15,1","0,8","1,9",,,,
"5,6","15,15","0,8","1,9",,,,
"5,62","15,2","0,8","1,9",,,,
"5,64","15,25","0,8","1,9",,,,
"5,66","15,3","0,8","1,9",,,,
"5,68","15,36","0,8","1,9",,,,
"5,7","15,41","0,8","1,9",,,,
"5,72","15,47","0,8","1,9",,,,
"5,74","15,52","0,9","1,9",,,,
"5,76","15,58","0,9","1,9",,,,
"5,78","15,64","0,8","1,9",,,,
"5,8","15,7","0,8","1,9",,,,
"5,82","15,76","0,8","1,9",,,,
"5,84","15,82","0,9","1,9",,,,
"5,86","15,89","0,9","1,9",,,,
"5,88","15,96","0,9","1,9",,,,
"5,9","16,02","0,9","1,9",,,,
"5,92","16,08","0,8","1,9",,,,
"5,94","16,14","0,8","1,9",,,,
"5,96","16,19","0,8","1,9",,,,
"5,98","16,25","0,8","1,9",,,,
6,"16,31","0,8","1,9",,,,
"6,02","16,36","0,8","1,9",,,,
"6,04","16,42","0,8","1,9",,,,
"6,06","16,48","0,8","1,9",,,,
"6,08","16,53","0,8","1,9",,,,
"6,1","16,58","0,8","1,9",,,,
"6,12","16,62","0,8","1,9",,,,
"6,14","16,66","0,8","1,9",,,,
"6,16","16,69","0,8","1,9",,,,
"6,18","16,72","0,8","1,9",,,,
"6,2","16,76","0,8","1,9",,,,
"6,22","16,8","0,8","1,9",,,,
"6,24","16,85","0,8","1,9",,,,
"6,26","16,91","0,8","1,9",,,,
"6,28","16,98","0,8","1,9",,,,
"6,3","17,05","0,8","1,9",,,,
"6,32","17,13","0,8","1,9",,,,
"6,34","17,21","0,8","1,9",,,,
"6,36","17,3","0,8","1,9",,,,
"6,38","17,39","0,8","1,9",,,,
"6,4","17,47","0,8","1,9",,,,
"6,42","17,55","0,8","1,9",,,,
"6,44","17,62","0,8","1,9",,,,
"6,46","17,69","0,8","1,9",,,,
"6,48","17,76","0,8","1,9",,,,
"6,5","17,82","0,8","1,9",,,,
"6,52","17,88","0,8","1,9",,,,
"6,54","17,94","0,8","1,9",,,,
"6,56","18,02","0,8","1,9",,,,
"6,58","18,1","0,8","1,9",,,,
"6,6","18,19","0,8","1,9",,,,
"6,62","18,3","0,8","1,9",,,,
"6,64","18,41","0,8","1,9",,,,
"6,66","18,52","0,8","1,9",,,,
"6,68","18,63","0,8","1,9",,,,
"6,7","18,73","0,8","1,9",,,,
"6,72","18,81","0,8","1,9",,,,
"6,74","18,84","0,8","1,9",,,,
"6,76","18,87","0,9","1,9",,,,
"6,78","18,9","0,9","1,9",,,,
"6,8","18,93","0,8","1,9",,,,
"6,82",19,"0,9","1,9",,,,
"6,84","19,06","0,9","1,9",,,,
"6,86","19,13","0,8","1,9",,,,
"6,88","19,19","0,9","1,9",,,,
"6,9","19,25","0,9","1,9",,,,
"6,92","19,29","0,9","1,9",,,,
"6,94","19,31","0,9","1,9",,,,
"6,96","19,33","0,9","1,9",,,,
"6,98","19,35","0,9","1,9",,,,
7,"19,38","0,9","1,9",,,,
"7,02","19,42","0,9","1,9",,,,
"7,04","19,47","0,9","1,9",,,,
"7,06","19,54","0,9","1,9",,,,
"7,08","19,6","0,9","1,9",,,,
"7,1","19,65","0,9","1,9",,,,
"7,12","19,71","0,8","1,9",,,,
"7,14","19,77","0,9","1,9",,,,
"7,16","19,83","0,9","1,9",,,,
"7,18","19,89","0,9","1,9",,,,
"7,2","19,94","0,8","1,9",,,,
"7,22","19,99","0,9","1,9",,,,
"7,24","20,05","0,8","1,9",,,,
"7,26","20,1","0,8","1,9",,,,
"7,28","20,16","0,9","1,9",,,,
"7,3","20,22","0,9","1,9",,,,
"7,32","20,28","0,8","1,9",,,,
"7,34","20,34","0,8","1,9",,,,
"7,36","20,41","0,8","1,9",,,,
"7,38","20,48","0,8","1,9",,,,
"7,4","20,56","0,8","1,9",,,,
"7,42","20,63","0,8","1,9",,,,
"7,44","20,71","0,8","1,9",,,,
"7,46","20,8","0,8","1,9",,,,
"7,48","20,88","0,8","1,9",,,,
"7,5","20,98","0,8","1,9",,,,
"7,52","21,07","0,8","1,9",,,,
"7,54","21,16","0,8","1,9",,,,
"7,56","21,25","0,8","1,9",,,,
"7,58","21,33","0,8","1,9",,,,
"7,6","21,42","0,8","1,9",,,,
"7,62","21,5","0,8","1,9",,,,
"7,64","21,57","0,8","1,9",,,,
"7,66","21,65","0,8","1,9",,,,
"7,68","21,72","0,8","1,9",,,,
"7,7","21,78","0,8","1,9",,,,
"7,72","21,83","0,8","1,9",,,,
"7,74","21,89","0,8","1,9",,,,
"7,76","21,95","0,8","1,9",,,,
"7,78","22,01","0,8","1,9",,,,
"7,8","22,07","0,8","1,9",,,,
"7,82","22,13","0,8","1,9",,,,
"7,84","22,2","0,8","1,9",,,,
"7,86","22,26","0,8","1,9",,,,
"7,88","22,33","0,8","1,9",,,,
"7,9","22,38","0,9","1,9",,,,
"7,92","22,44","0,9","1,9",,,,
"7,94","22,5","0,9","1,9",,,,
"7,96","22,55","0,9","1,9",,,,
"7,98","22,6","0,9","1,9",,,,
8,"22,65","0,9","1,9",,,,
"8,02","22,7","0,9","1,9",,,,
"8,04","22,76","0,9","1,9",,,,
"8,06","22,82","0,9","1,9",,,,
"8,08","22,88","0,9","1,9",,,,
"8,1","22,95","0,9","1,9",,,,
"8,12","23,01","0,9","1,9",,,,
"8,14","23,07","0,9","1,9",,,,
"8,16","23,13","0,9","1,9",,,,
"8,18","23,18","0,9","1,9",,,,
"8,2","23,23","0,9","1,9",,,,
"8,22","23,29","0,9","1,9",,,,
"8,24","23,34","0,9","1,9",,,,
"8,26","23,4","0,9","1,9",,,,
"8,28","23,48","0,9","1,9",,,,
"8,3","23,58","0,8","1,9",,,,
"8,32","23,69","0,8","1,9",,,,
"8,34","23,8","0,8","1,9",,,,
"8,36","23,91","0,8","1,9",,,,
"8,38","24,01","0,8","1,9",,,,
"8,4","24,09","0,8","1,9",,,,
"8,42","24,16","0,8","1,9",,,,
"8,44","24,24","0,8","1,9",,,,
"8,46","24,32","0,8","1,9",,,,
"8,48","24,4","0,8","1,9",,,,
"8,5","24,47","0,8","1,9",,,,
"8,52","24,54","0,8","1,9",,,,
"8,54","24,6","0,8","1,9",,,,
"8,56","24,66","0,8","1,9",,,,
"8,58","24,71","0,8","1,9",,,,
"8,6","24,76","0,8","1,9",,,,
"8,62","24,83","0,8","1,9",,,,
"8,64","24,89","0,8","1,9",,,,
"8,66","24,94","0,8","1,9",,,,
"8,68",25,"0,8","1,9",,,,
"8,7","25,06","0,8","1,9",,,,
"8,72","25,13","0,8","1,9",,,,
"8,74","25,2","0,8","1,9",,,,
"8,76","25,28","0,8","1,9",,,,
"8,78","25,36","0,8","1,9",,,,
"8,8","25,45","0,8","1,9",,,,
"8,82","25,54","0,8","1,9",,,,
"8,84","25,62","0,8","1,9",,,,
"8,86","25,71","0,8","1,9",,,,
"8,88","25,8","0,8","1,9",,,,
"8,9","25,88","0,8","1,9",,,,
"8,92","25,96","0,9","1,9",,,,
"8,94","26,03","0,8","1,9",,,,
"8,96","26,09","0,8","1,9",,,,
"8,98","26,15","0,8","1,9",,,,
9,"26,21","0,8","1,9",,,,
"9,02","26,27","0,9","1,9",,,,
"9,04","26,32","0,9","1,9",,,,
"9,06","26,37","0,9","1,9",,,,
"9,08","26,41","0,9","1,9",,,,
"9,1","26,46","0,9","1,9",,,,
"9,12","26,51","0,9","1,9",,,,
"9,14","26,56","0,9","1,9",,,,
"9,16","26,62","0,9","1,9",,,,
"9,18","26,67","0,9","1,9",,,,
"9,2","26,73","0,8","1,9",,,,
"9,22","26,8","0,9","1,9",,,,
"9,24","26,87","0,8","1,9",,,,
"9,26","26,93","0,9","1,9",,,,
"9,28",27,"0,9","1,9",,,,
"9,3","27,07","0,9","1,9",,,,
